Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,53		
0,025	0,53	-0,08	
0,050	0,53	-0,07	0,48
0,075	0,53	-0,06	0,49
0,100	0,53	-0,05	0,34
0,125	0,53	-0,04	0,34
0,150	0,52	-0,03	0,42
0,175	0,52	-0,02	0,35
0,200	0,52	-0,01	0,28
0,225	0,52	0,00	0,28
0,250	0,52	0,00	0,28
0,275	0,52	0,01	0,28
0,300	0,52	0,02	0,28
0,325	0,52	0,02	0,28
0,350	0,52	0,03	0,28
0,375	0,53	0,04	0,21
0,400	0,53	0,04	0,07
0,425	0,53	0,04	0,06
0,450	0,53	0,04	0,20
0,475	0,53	0,05	0,28
0,500	0,53	0,06	0,21
0,525	0,53	0,06	0,07
0,550	0,53	0,06	0,06
0,575	0,54	0,07	0,14
0,600	0,54	0,07	0,14
0,625	0,54	0,07	0,07
0,650	0,54	0,07	0,06
0,675	0,54	0,08	0,21
0,700	0,55	0,08	0,22
0,725	0,55	0,09	0,07
0,750	0,55	0,09	0,06
0,775	0,55	0,09	0,22
0,800	0,55	0,10	0,07
0,825	0,56	0,09	-0,02
0,850	0,56	0,10	0,28
0,875	0,56	0,11	0,22
0,900	0,56	0,11	0,06
0,925	0,57	0,11	0,28
0,950	0,57	0,12	0,17
0,975	0,57	0,12	0,75
1,000	0,58	0,16	0,97
1,025	0,58	0,17	-1,31
1,050	0,58	0,09	-1,50
1,075	0,58	0,09	1,57
1,100	0,59	0,17	1,86
1,125	0,59	0,18	-0,40
1,150	0,60	0,15	-0,67
1,175	0,60	0,15	0,06
1,200	0,60	0,15	0,15
1,225	0,61	0,16	0,00
1,250	0,61	0,15	-0,08
1,275	0,62	0,15	0,06
1,300	0,62	0,16	0,14
1,325	0,62	0,16	0,07
1,350	0,63	0,16	-0,07
1,375	0,63	0,16	0,90
1,400	0,64	0,21	0,89
1,425	0,64	0,20	-1,10
1,450	0,65	0,15	-1,16
1,475	0,65	0,14	-0,28
1,500	0,65	0,14	-0,20
1,525	0,66	0,13	-0,26
1,550	0,66	0,12	-0,42
1,575	0,66	0,11	-0,35
1,600	0,67	0,11	-0,27
1,625	0,67	0,10	-0,27
1,650	0,67	0,09	-0,34
1,675	0,67	0,08	-0,41
1,700	0,68	0,07	-0,40
1,725	0,68	0,06	-0,54
1,750	0,68	0,05	-0,69
1,775	0,68	0,03	-0,62
1,800	0,68	0,01	-0,55
1,825	0,68	0,00	-0,55
1,850	0,68	-0,01	-0,55
1,875	0,68	-0,03	-0,55
1,900	0,68	-0,04	-0,61
1,925	0,68	-0,06	-0,76
1,950	0,68	-0,08	-0,76
1,975	0,67	-0,10	-0,69
2,000	0,67	-0,11	-0,63
2,025	0,67	-0,13	-0,55
2,050	0,66	-0,14	-0,61
2,075	0,66	-0,16	-0,76
2,100	0,66	-0,18	-0,77
2,125	0,65	-0,20	-0,49
2,150	0,65	-0,20	-1,38
2,175	0,64	-0,26	-1,51
2,200	0,63	-0,28	0,43
2,225	0,63	-0,24	0,20
2,250	0,62	-0,27	-0,79
2,275	0,61	-0,28	-0,35
2,300	0,61	-0,29	-0,28
2,325	0,60	-0,30	-0,25
2,350	0,59	-0,30	-0,69
2,375	0,59	-0,33	-0,78
2,400	0,58	-0,34	0,68
2,425	0,57	-0,30	0,88
2,450	0,56	-0,29	0,07
2,475	0,55	-0,29	0,06
2,500	0,55	-0,29	0,13
2,525	0,54	-0,29	0,27
2,550	0,53	-0,28	0,41
2,575	0,53	-0,27	0,41
2,600	0,52	-0,26	0,41
2,625	0,51	-0,25	0,47
2,650	0,51	-0,23	0,62
2,675	0,50	-0,21	0,62
2,700	0,50	-0,20	0,69
2,725	0,49	-0,18	0,76
2,750	0,49	-0,16	0,68
2,775	0,48	-0,15	0,82
2,800	0,48	-0,12	0,97
2,825	0,48	-0,10	0,90
2,850	0,48	-0,08	0,82
2,875	0,47	-0,06	0,89
2,900	0,47	-0,03	0,96
2,925	0,47	-0,01	0,97
2,950	0,47	0,02	0,89
2,975	0,47	0,04	0,96
3,000	0,47	0,06	1,04
3,025	0,48	0,09	0,96
3,050	0,48	0,11	0,97
3,075	0,48	0,14	0,90
3,100	0,49	0,16	0,82
3,125	0,49	0,18	0,82
3,150	0,49	0,20	0,82
3,175	0,50	0,22	0,82
3,200	0,50	0,24	0,83
3,225	0,51	0,26	0,69
3,250	0,52	0,27	0,62
3,275	0,52	0,29	0,56
