Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,56		
0,020	0,56	-0,16	
0,040	0,55	-0,15	0,40
0,060	0,55	-0,14	0,77
0,080	0,55	-0,12	0,56
0,100	0,55	-0,12	0,18
0,120	0,54	-0,11	0,64
0,140	0,54	-0,09	0,78
0,160	0,54	-0,08	0,41
0,180	0,54	-0,07	0,74
0,200	0,54	-0,05	0,88
0,220	0,54	-0,04	0,65
0,240	0,54	-0,03	0,64
0,260	0,54	-0,01	0,74
0,280	0,54	0,00	0,87
0,300	0,54	0,02	0,77
0,320	0,54	0,03	0,55
0,340	0,54	0,04	0,40
0,360	0,54	0,05	0,74
0,380	0,54	0,07	0,88
0,400	0,54	0,08	0,64
0,420	0,54	0,10	0,65
0,440	0,54	0,11	0,54
0,460	0,55	0,12	0,53
0,480	0,55	0,13	0,65
0,500	0,55	0,15	0,55
0,520	0,56	0,15	0,32
0,540	0,56	0,16	0,31
0,560	0,56	0,17	0,44
0,580	0,57	0,18	0,33
0,600	0,57	0,18	0,21
0,620	0,57	0,18	0,21
0,640	0,58	0,19	0,11
0,660	0,58	0,19	1,49
0,680	0,58	0,25	1,84
0,700	0,59	0,26	-1,04
0,720	0,59	0,21	-1,59
0,740	0,60	0,20	-0,43
0,760	0,60	0,19	-0,45
0,780	0,61	0,18	-0,23
0,800	0,61	0,18	1,26E-13
0,820	0,61	0,18	0,01
0,840	0,62	0,18	-0,10
0,860	0,62	0,18	-0,21
0,880	0,62	0,17	-0,17
0,900	0,63	0,17	-0,71
0,920	0,63	0,14	-1,25
0,940	0,63	0,12	-0,43
0,960	0,64	0,13	-0,38
0,980	0,64	0,10	-1,00
1,000	0,64	0,09	-0,63
1,020	0,64	0,08	-0,77
1,040	0,64	0,06	-0,56
1,060	0,64	0,06	-0,37
1,080	0,64	0,04	0,25
1,100	0,65	0,07	0,10
1,120	0,65	0,05	-2,40
1,140	0,65	-0,03	-2,05
1,160	0,65	-0,04	-1,91
1,180	0,65	-0,11	-2,50
1,200	0,64	-0,14	0,29
1,220	0,64	-0,09	0,77
1,240	0,64	-0,11	-0,69
1,260	0,64	-0,12	-0,21
1,280	0,63	-0,11	-0,28
1,300	0,63	-0,13	-0,77
1,320	0,63	-0,15	-0,55
1,340	0,63	-0,15	-0,43
1,360	0,62	-0,16	-0,41
1,380	0,62	-0,17	-0,65
1,400	0,62	-0,19	-0,68
1,420	0,61	-0,20	-0,23
1,440	0,61	-0,20	-0,01
1,460	0,60	-0,20	0,10
1,480	0,60	-0,19	0,23
1,500	0,60	-0,19	0,02
1,520	0,59	-0,19	-0,22
1,540	0,59	-0,20	-0,03
1,560	0,58	-0,19	-1,08
1,580	0,58	-0,24	-1,16
1,600	0,57	-0,24	1,28
1,620	0,57	-0,19	1,48
1,640	0,57	-0,18	0,43
1,660	0,56	-0,17	0,42
1,680	0,56	-0,16	0,54
1,700	0,56	-0,15	0,55
1,720	0,55	-0,14	0,43
1,740	0,55	-0,13	0,43
1,760	0,55	-0,13	0,42
1,780	0,55	-0,12	0,53
1,800	0,54	-0,10	0,65
1,820	0,54	-0,09	0,64
1,840	0,54	-0,08	0,76
1,860	0,54	-0,06	0,65
1,880	0,54	-0,05	0,52
1,900	0,54	-0,04	0,75
1,920	0,54	-0,02	0,75
1,940	0,54	-0,01	0,74
1,960	0,54	0,01	0,87
1,980	0,54	0,02	0,77
2,000	0,54	0,04	0,54
2,020	0,54	0,05	0,53
2,040	0,54	0,06	0,64
2,060	0,54	0,07	0,64
2,080	0,54	0,08	0,64
2,100	0,54	0,10	0,64
2,120	0,55	0,11	0,65
2,140	0,55	0,12	0,55
2,160	0,55	0,13	0,43
2,180	0,55	0,14	0,43
2,200	0,56	0,15	0,43
2,220	0,56	0,16	0,44
2,240	0,56	0,17	0,34
2,260	0,57	0,17	0,10
2,280	0,57	0,17	0,21
2,300	0,57	0,18	0,34
2,320	0,58	0,18	0,00
2,340	0,58	0,18	1,38
2,360	0,58	0,24	1,84
2,380	0,59	0,25	-1,04
2,400	0,59	0,20	-1,60
2,420	0,60	0,19	-0,32
2,440	0,60	0,19	-0,31
2,460	0,60	0,18	-0,45
2,480	0,61	0,17	-0,21
2,500	0,61	0,17	-0,21
2,520	0,62	0,16	-0,36
2,540	0,62	0,15	0,11
2,560	0,62	0,16	0,19
2,580	0,62	0,16	-0,70
2,600	0,63	0,14	-1,36
2,620	0,63	0,11	-0,55
2,640	0,63	0,11	-0,37
2,660	0,63	0,09	-1,12
2,680	0,64	0,07	-0,56
2,700	0,64	0,07	-0,27
2,720	0,64	0,06	-0,86
2,740	0,64	0,04	-0,87
2,760	0,64	0,02	-0,85
2,780	0,64	0,00	0,30
2,800	0,64	0,04	0,77
2,820	0,64	0,03	-1,78
2,840	0,64	-0,04	-3,80
2,860	0,64	-0,12	-2,42
2,880	0,64	-0,13	0,74
2,900	0,64	-0,09	0,97
2,920	0,63	-0,09	-0,27
2,940	0,63	-0,10	-0,91
2,960	0,63	-0,13	-0,38
2,980	0,63	-0,12	0,43
3,000	0,62	-0,11	-0,82
3,020	0,62	-0,15	-1,39
3,040	0,62	-0,17	-0,24
3,060	0,62	-0,16	0,06
3,080	0,61	-0,17	-0,66
3,100	0,61	-0,18	-0,47
3,120	0,60	-0,19	0,09
3,140	0,60	-0,18	-1,08
3,160	0,60	-0,23	-1,16
3,180	0,59	-0,23	1,30
3,200	0,59	-0,18	1,18
3,220	0,58	-0,18	1,39
3,240	0,58	-0,12	0,21
3,260	0,58	-0,17	-1,19
3,280	0,57	-0,17	0,32
3,300	0,57	-0,16	0,33
3,320	0,57	-0,16	0,33
3,340	0,57	-0,15	-1,30
3,360	0,56	-0,21	0,08
3,380	0,56	-0,14	1,93
3,400	0,56	-0,13	0,62
3,420	0,55	-0,12	0,98
3,440	0,55	-0,09	0,91
3,460	0,55	-0,08	0,23
3,480	0,55	-0,08	-0,03
3,500	0,55	-0,08	0,39
3,520	0,54	-0,07	0,99
3,540	0,54	-0,04	0,65
3,560	0,54	-0,04	0,63
3,580	0,54	-0,02	0,88
3,600	0,54	-0,01	0,65
3,620	0,54	0,01	0,65
3,640	0,54	0,02	0,53
3,660	0,54	0,03	0,64
3,680	0,54	0,05	0,65
3,700	0,54	0,05	0,53
3,720	0,55	0,07	0,64
3,740	0,55	0,08	0,64
3,760	0,55	0,09	0,65
3,780	0,55	0,11	0,55
3,800	0,55	0,12	0,43
3,820	0,56	0,12	0,42
3,840	0,56	0,13	0,55
3,860	0,56	0,15	0,45
3,880	0,56	0,15	0,21
3,900	0,57	0,15	0,33
3,920	0,57	0,16	0,23
3,940	0,57	0,16	-0,01
3,960	0,58	0,16	0,09
3,980	0,58	0,17	0,22
4,000	0,58	0,17	1,51
4,020	0,59	0,23	1,60
4,040	0,59	0,24	-0,95
4,060	0,60	0,19	-1,25
4,080	0,60	0,19	-0,30
4,100	0,60	0,18	-0,53
4,120	0,61	0,16	-0,67
4,140	0,61	0,15	-0,35
4,160	0,61	0,15	0,01
4,180	0,62	0,15	-0,07
4,200	0,62	0,15	-0,54
4,220	0,62	0,13	-0,61
4,240	0,62	0,12	0,27
4,260	0,63	0,14	-0,35
4,280	0,63	0,11	-1,37
4,300	0,63	0,09	-0,41
4,320	0,63	0,09	-0,62
4,340	0,64	0,06	-1,03
4,360	0,64	0,05	-0,28
4,380	0,64	0,05	-0,70
4,400	0,64	0,02	-1,36
4,420	0,64	0,00	-0,61
4,440	0,64	-3,99E-4	0,35
4,460	0,64	0,01	-1,24
4,480	0,64	-0,05	-2,00
4,500	0,64	-0,07	-0,04
4,520	0,64	-0,05	0,53
4,540	0,63	-0,05	-0,53
4,560	0,63	-0,07	-2,03
4,580	0,63	-0,13	-1,01
4,600	0,63	-0,11	0,90
4,620	0,63	-0,09	-0,80
4,640	0,62	-0,15	-1,66
4,660	0,62	-0,16	0,18
4,680	0,62	-0,14	0,76
4,700	0,62	-0,13	-0,60
4,720	0,61	-0,16	-1,24
4,740	0,61	-0,18	-0,46
4,760	0,61	-0,18	-1,42
4,780	0,60	-0,24	-1,41
4,800	0,60	-0,24	1,41
4,820	0,59	-0,18	1,39
4,840	0,59	-0,18	0,10
4,860	0,59	-0,18	0,22
4,880	0,58	-0,17	0,02
4,900	0,58	-0,18	1,28
4,920	0,57	-0,12	0,20
4,940	0,57	-0,17	-2,58
4,960	0,57	-0,22	0,09
4,980	0,56	-0,16	1,84
5,000	0,56	-0,15	0,33
5,020	0,56	-0,15	0,18
5,040	0,56	-0,14	0,65
5,060	0,55	-0,13	0,66
5,080	0,55	-0,12	0,42
5,100	0,55	-0,11	0,53
5,120	0,55	-0,10	0,65
5,140	0,54	-0,08	0,54
5,160	0,54	-0,07	0,53
5,180	0,54	-0,06	0,65
5,200	0,54	-0,05	0,65
5,220	0,54	-0,04	0,65
5,240	0,54	-0,02	0,64
5,260	0,54	-0,01	0,75
5,280	0,54	0,01	0,76
5,300	0,54	0,02	0,64
5,320	0,54	0,03	0,75
5,340	0,54	0,05	0,77
5,360	0,54	0,06	0,54
5,380	0,54	0,07	0,54
5,400	0,54	0,09	0,54
5,420	0,55	0,09	0,53
5,440	0,55	0,11	0,66
5,460	0,55	0,12	0,43
5,480	0,55	0,12	0,40
5,500	0,56	0,14	0,66
5,520	0,56	0,15	1,86
5,540	0,56	0,21	1,59
5,560	0,57	0,21	-0,98
5,580	0,57	0,17	-0,82
5,600	0,57	0,18	0,11
5,620	0,58	0,18	0,11
5,640	0,58	0,19	0,12
5,660	0,58	0,18	-0,04
5,680	0,59	0,18	0,42
5,700	0,59	0,20	0,58
5,720	0,60	0,21	0,06
