Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,38		
0,020	0,38	0,11	
0,040	0,39	0,13	1,08
0,060	0,39	0,15	0,97
0,080	0,39	0,17	0,86
0,100	0,40	0,18	0,86
0,120	0,40	0,20	0,85
0,140	0,40	0,22	1,07
0,160	0,41	0,24	1,09
0,180	0,41	0,26	0,86
0,200	0,42	0,28	0,76
0,220	0,43	0,29	0,64
0,240	0,43	0,30	0,65
0,260	0,44	0,32	0,54
0,280	0,44	0,33	0,43
0,300	0,45	0,33	0,43
0,320	0,46	0,34	0,44
0,340	0,46	0,35	0,33
0,360	0,47	0,36	0,21
0,380	0,48	0,36	0,21
0,400	0,49	0,36	0,33
0,420	0,49	0,37	0,23
0,440	0,50	0,37	-0,01
0,460	0,51	0,37	0,12
0,480	0,52	0,38	0,02
0,500	0,52	0,37	-0,21
0,520	0,53	0,37	-0,21
0,540	0,54	0,37	-0,21
0,560	0,55	0,36	-0,32
0,580	0,55	0,35	-0,34
0,600	0,56	0,35	-0,10
0,620	0,57	0,35	-0,31
0,640	0,57	0,34	0,86
0,660	0,58	0,38	1,09
0,680	0,59	0,38	-1,82
0,700	0,59	0,31	-1,93
0,720	0,60	0,30	-0,51
0,740	0,61	0,29	-0,85
0,760	0,61	0,27	-1,04
0,780	0,62	0,25	-0,12
0,800	0,62	0,26	0,16
0,820	0,63	0,25	-1,74
0,840	0,63	0,19	-1,75
0,860	0,64	0,18	1,18
0,880	0,64	0,24	1,44
0,900	0,65	0,24	-1,32
0,920	0,65	0,19	-5,01
0,940	0,65	0,04	-2,19
0,960	0,65	0,10	3,41
0,980	0,66	0,18	1,68
1,000	0,66	0,17	-2,59
1,020	0,66	0,07	-5,36
1,040	0,66	-0,05	-0,85
1,060	0,66	0,04	1,73
1,080	0,66	0,02	-0,86
1,100	0,66	0,01	-1,03
1,120	0,66	-0,02	0,82
1,140	0,66	0,04	1,78
1,160	0,66	0,05	-3,87
1,180	0,66	-0,12	-3,05
1,200	0,66	-0,07	1,23
1,220	0,66	-0,07	-0,48
1,240	0,66	-0,09	-1,22
1,260	0,66	-0,12	-0,95
1,280	0,65	-0,13	1,58
1,300	0,65	-0,05	-1,64
1,320	0,65	-0,19	-4,16
1,340	0,65	-0,22	0,39
1,360	0,64	-0,18	0,96
1,380	0,64	-0,18	-0,21
1,400	0,63	-0,18	-0,32
1,420	0,63	-0,19	-0,34
1,440	0,63	-0,20	-0,11
1,460	0,62	-0,20	-0,09
1,480	0,62	-0,20	-0,32
1,500	0,62	-0,21	-0,32
1,520	0,61	-0,21	-0,21
1,540	0,61	-0,22	-1,63
1,560	0,60	-0,28	-1,62
1,580	0,60	-0,28	1,19
1,600	0,59	-0,23	1,19
1,620	0,59	-0,24	-0,27
1,640	0,58	-0,24	0,40
1,660	0,58	-0,22	0,85
1,680	0,57	-0,21	-0,41
1,700	0,57	-0,24	-0,73
1,720	0,56	-0,24	0,31
1,740	0,56	-0,22	0,56
1,760	0,55	-0,22	0,23
1,780	0,55	-0,22	-0,02
1,800	0,55	-0,22	0,30
1,820	0,54	-0,20	-0,85
1,840	0,54	-0,25	-1,15
1,860	0,53	-0,25	1,39
1,880	0,53	-0,19	1,59
1,900	0,52	-0,19	0,44
1,920	0,52	-0,18	0,34
1,940	0,52	-0,17	0,11
1,960	0,51	-0,17	0,09
1,980	0,51	-0,17	0,31
2,000	0,51	-0,16	0,43
2,020	0,50	-0,15	0,44
2,040	0,50	-0,14	0,32
2,060	0,50	-0,14	0,31
2,080	0,49	-0,13	0,55
2,100	0,49	-0,12	0,45
2,120	0,49	-0,11	0,21
2,140	0,49	-0,11	0,32
2,160	0,49	-0,10	0,44
2,180	0,48	-0,09	0,33
2,200	0,48	-0,09	0,22
2,220	0,48	-0,08	0,21
2,240	0,48	-0,08	0,31
2,260	0,48	-0,07	0,55
2,280	0,48	-0,06	0,45
2,300	0,47	-0,05	0,21
2,320	0,47	-0,05	0,32
2,340	0,47	-0,04	0,44
2,360	0,47	-0,03	0,34
2,380	0,47	-0,03	0,11
2,400	0,47	-0,03	0,09
2,420	0,47	-0,02	0,32
2,440	0,47	-0,01	0,44
2,460	0,47	0,00	0,33
2,480	0,47	-2,94E-4	0,22
2,500	0,47	0,00	0,21
2,520	0,47	0,01	0,32
2,540	0,47	0,02	0,34
2,560	0,47	0,02	0,10
2,580	0,47	0,02	0,21
2,600	0,47	0,03	0,22
2,620	0,47	0,03	0,09
2,640	0,47	0,03	0,33
2,660	0,47	0,04	0,22
2,680	0,47	0,04	0,09
2,700	0,48	0,05	0,32
2,720	0,48	0,06	0,34
2,740	0,48	0,06	0,11
2,760	0,48	0,06	0,09
2,780	0,48	0,06	0,33
2,800	0,48	0,07	0,23
2,820	0,48	0,07	-0,01
2,840	0,48	0,07	0,09
2,860	0,49	0,08	0,33
2,880	0,49	0,09	0,22
2,900	0,49	0,09	0,09
2,920	0,49	0,09	0,32
2,940	0,49	0,10	0,33
2,960	0,50	0,10	0,22
2,980	0,50	0,11	0,11
3,000	0,50	0,11	0,11
3,020	0,50	0,11	0,11
3,040	0,50	0,11	0,10
3,060	0,51	0,12	0,21
3,080	0,51	0,12	0,21
3,100	0,51	0,12	0,33
3,120	0,51	0,13	0,22
3,140	0,52	0,13	0,09
3,160	0,52	0,14	0,34
3,180	0,52	0,15	0,12
3,200	0,52	0,14	-0,12
3,220	0,53	0,14	0,10
3,240	0,53	0,15	0,21
3,260	0,53	0,15	0,25
3,280	0,54	0,16	1,31
3,300	0,54	0,20	1,23
3,320	0,54	0,21	-0,98
3,340	0,55	0,16	-0,94
3,360	0,55	0,17	0,22
3,380	0,55	0,17	0,11
3,400	0,56	0,17	0,10
3,420	0,56	0,18	0,22
3,440	0,56	0,18	0,13
3,460	0,57	0,18	-0,10
3,480	0,57	0,18	-0,22
3,500	0,58	0,17	-0,12
3,520	0,58	0,17	-1,39E-13
3,540	0,58	0,17	0,00
3,560	0,59	0,17	-0,01
3,580	0,59	0,17	0,11
3,600	0,59	0,18	0,02
3,620	0,60	0,17	1,08
3,640	0,60	0,22	1,18
3,660	0,60	0,22	-1,49
3,680	0,61	0,16	-1,72
3,700	0,61	0,15	-0,34
3,720	0,61	0,15	-0,12
3,740	0,62	0,15	0,01
3,760	0,62	0,15	-0,09
3,780	0,62	0,14	-0,32
3,800	0,63	0,13	-0,34
3,820	0,63	0,13	-0,05
3,840	0,63	0,13	-0,75
3,860	0,63	0,10	-0,82
3,880	0,63	0,10	0,07
3,900	0,64	0,10	-0,76
3,920	0,64	0,07	-0,69
3,940	0,64	0,07	-0,07
3,960	0,64	0,07	-0,55
3,980	0,64	0,05	-0,44
4,000	0,64	0,05	-0,30
4,020	0,64	0,04	-0,52
4,040	0,65	0,03	-0,76
4,060	0,65	0,01	-0,68
4,080	0,65	4,04E-4	-0,28
4,100	0,65	0,00	-0,52
4,120	0,65	-0,02	-3,31
4,140	0,65	-0,13	-2,93
4,160	0,64	-0,14	3,76
4,180	0,64	0,02	3,06
4,200	0,64	-0,02	-2,50
4,220	0,64	-0,08	-3,70
4,240	0,64	-0,16	-0,91
4,260	0,63	-0,12	2,70
4,280	0,63	-0,06	-2,45
4,300	0,63	-0,22	-4,45
4,320	0,62	-0,23	1,21
4,340	0,62	-0,17	1,03
4,360	0,62	-0,19	-1,02
4,380	0,61	-0,21	-0,48
4,400	0,61	-0,21	0,15
4,420	0,60	-0,21	-0,26
4,440	0,60	-0,22	-1,10
4,460	0,60	-0,25	-0,69
4,480	0,59	-0,25	-1,49
