Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,46		
0,020	0,46	0,25	
0,040	0,47	0,26	0,76
0,060	0,47	0,28	0,67
0,080	0,48	0,29	0,31
0,100	0,48	0,29	0,52
0,120	0,49	0,31	0,77
0,140	0,50	0,32	0,54
0,160	0,50	0,33	0,43
0,180	0,51	0,34	0,44
0,200	0,52	0,35	0,26
0,220	0,52	0,35	1,19
0,240	0,53	0,40	1,24
0,260	0,54	0,40	-1,07
0,280	0,55	0,35	-1,27
0,300	0,55	0,35	-0,02
0,320	0,56	0,35	0,27
0,340	0,57	0,36	-0,38
0,360	0,57	0,34	-1,02
0,380	0,58	0,32	-0,38
0,400	0,59	0,32	0,35
0,420	0,59	0,33	-0,05
0,440	0,60	0,32	0,56
0,460	0,61	0,35	0,55
0,480	0,61	0,34	-2,25
0,500	0,62	0,26	-2,38
0,520	0,63	0,25	-0,86
0,540	0,63	0,23	-0,87
0,560	0,63	0,21	-0,76
0,580	0,64	0,20	-0,63
0,600	0,64	0,19	-0,71
0,620	0,65	0,17	-1,16
0,640	0,65	0,14	-1,41
0,660	0,65	0,11	-1,30
0,680	0,65	0,09	-1,19
0,700	0,66	0,07	-1,04
0,720	0,66	0,05	-1,36
0,740	0,66	0,01	-1,84
0,760	0,66	-0,03	-1,78
0,780	0,66	-0,06	-1,07
0,800	0,65	-0,07	-1,17
0,820	0,65	-0,11	-1,36
0,840	0,65	-0,12	-0,50
0,860	0,65	-0,13	-0,94
0,880	0,65	-0,16	-1,33
0,900	0,64	-0,18	-0,71
0,920	0,64	-0,19	-2,48
0,940	0,63	-0,28	-2,63
0,960	0,63	-0,30	0,42
0,980	0,62	-0,26	0,60
1,000	0,62	-0,27	-0,06
1,020	0,61	-0,26	-0,65
1,040	0,61	-0,30	-0,69
1,060	0,60	-0,29	-0,15
1,080	0,59	-0,30	-1,02
1,100	0,59	-0,33	-0,47
1,120	0,58	-0,32	0,04
1,140	0,57	-0,33	-0,35
1,160	0,57	-0,34	-1,43
1,180	0,56	-0,39	-1,27
1,200	0,55	-0,39	1,30
1,220	0,55	-0,34	1,28
1,240	0,54	-0,34	-2,36E-14
1,260	0,53	-0,34	-0,02
1,280	0,53	-0,34	0,20
1,300	0,52	-0,33	0,45
1,320	0,51	-0,32	0,22
1,340	0,51	-0,32	0,20
1,360	0,50	-0,31	0,42
1,380	0,49	-0,30	0,52
1,400	0,49	-0,29	0,76
1,420	0,48	-0,27	0,65
1,440	0,48	-0,26	0,63
1,460	0,47	-0,25	0,87
1,480	0,47	-0,23	0,76
1,500	0,46	-0,22	0,64
1,520	0,46	-0,20	0,75
1,540	0,45	-0,19	0,86
1,560	0,45	-0,17	0,85
1,580	0,45	-0,15	0,97
1,600	0,44	-0,13	0,97
1,620	0,44	-0,11	0,96
1,640	0,44	-0,09	1,07
1,660	0,44	-0,07	1,18
1,680	0,44	-0,04	1,20
1,700	0,44	-0,02	0,97
1,720	0,44	-0,01	0,97
1,740	0,44	0,02	0,97
1,760	0,44	0,03	0,85
1,780	0,44	0,05	0,97
1,800	0,44	0,07	0,97
1,820	0,44	0,09	0,95
1,840	0,44	0,11	1,19
1,860	0,45	0,14	1,09
1,880	0,45	0,15	0,86
1,900	0,45	0,17	0,86
1,920	0,46	0,19	0,86
1,940	0,46	0,21	0,87
1,960	0,46	0,22	0,66
1,980	0,47	0,23	0,42
2,000	0,47	0,24	0,52
2,020	0,48	0,25	0,75
2,040	0,48	0,27	0,76
2,060	0,49	0,28	0,65
2,080	0,49	0,30	0,55
2,100	0,50	0,30	0,32
2,120	0,51	0,31	0,23
2,140	0,51	0,31	1,62
2,160	0,52	0,37	0,09
2,180	0,53	0,32	-1,49
2,200	0,53	0,31	1,52
2,220	0,54	0,38	-0,01
2,240	0,55	0,31	-1,50
2,260	0,55	0,32	0,01
2,280	0,56	0,31	-0,12
2,300	0,56	0,31	0,01
2,320	0,57	0,31	-0,10
2,340	0,58	0,31	-0,14
2,360	0,58	0,31	-1,10
2,380	0,59	0,27	-0,83
2,400	0,59	0,28	0,30
2,420	0,60	0,28	-0,72
2,440	0,61	0,25	-1,11
