Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0,000	0,49		
0,020	0,47	-0,42	
0,040	0,47	-0,18	-0,43
0,060	0,46	-0,44	-4,09
0,080	0,46	-0,35	4,69
0,100	0,45	-0,25	0,44
0,120	0,45	-0,33	-3,50
0,140	0,44	-0,39	2,69
0,160	0,43	-0,22	4,77
0,180	0,43	-0,20	-1,18
0,200	0,42	-0,27	-1,32
0,220	0,42	-0,25	0,97
0,240	0,41	-0,23	0,98
0,260	0,41	-0,21	0,76
0,280	0,40	-0,20	0,64
0,300	0,40	-0,19	0,75
0,320	0,40	-0,17	0,86
0,340	0,39	-0,15	0,85
0,360	0,39	-0,13	1,06
0,380	0,39	-0,11	1,30
0,400	0,39	-0,08	1,08
0,420	0,38	-0,07	0,97
0,440	0,38	-0,04	0,97
0,460	0,38	-0,03	0,85
0,480	0,38	-0,01	1,07
0,500	0,38	0,02	1,09
0,520	0,38	0,03	0,85
0,540	0,38	0,05	0,96
0,560	0,39	0,07	1,08
0,580	0,39	0,09	0,97
0,600	0,39	0,11	0,95
0,620	0,39	0,13	1,19
0,640	0,39	0,16	1,09
0,660	0,40	0,18	0,75
0,680	0,40	0,19	0,75
0,700	0,41	0,21	0,74
0,720	0,41	0,22	0,85
0,740	0,41	0,24	0,98
0,760	0,42	0,26	0,77
0,780	0,42	0,27	0,41
0,800	0,43	0,27	0,71
0,820	0,44	0,30	1,44
0,840	0,44	0,33	0,68
0,860	0,45	0,33	0,07
0,880	0,45	0,33	0,64
0,900	0,46	0,35	0,66
0,920	0,47	0,36	0,44
0,940	0,48	0,37	0,64
0,960	0,48	0,39	-4,40
0,980	0,49	0,19	-0,18
1,000	0,49	0,38	9,65
1,020	0,51	0,58	0,51
1,040	0,51	0,40	-4,36
1,060	0,52	0,40	1,52
1,080	0,53	0,46	0,22
1,100	0,54	0,41	-5,91
1,120	0,55	0,22	-3,87
1,140	0,55	0,26	9,37
1,160	0,56	0,60	9,09
1,180	0,57	0,62	-11,92
1,200	0,58	0,12	-10,94
1,220	0,58	0,18	12,83
1,240	0,59	0,63	9,66
1,260	0,60	0,57	-11,14
1,280	0,61	0,19	-6,17
1,300	0,61	0,32	11,04
1,320	0,63	0,63	2,99
1,340	0,64	0,44	-7,57
1,360	0,64	0,33	-3,34
1,380	0,65	0,31	0,66
1,400	0,66	0,35	1,19
1,420	0,66	0,36	-6,06
1,440	0,67	0,11	-9,01
1,460	0,67	0,00	2,43
1,480	0,67	0,21	9,42
1,500	0,68	0,37	4,40
1,520	0,68	0,38	-2,12
1,540	0,69	0,29	-9,46
1,560	0,70	0,01	-10,69
1,580	0,69	-0,14	3,35
1,600	0,69	0,14	11,17
1,620	0,70	0,31	1,06
1,640	0,70	0,18	-3,65
1,660	0,71	0,16	-0,94
1,680	0,71	0,14	-4,80
