#Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
#Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0.000	0.63		
0.025	0.63	0.06	
0.050	0.64	0.05	-0.34
0.075	0.64	0.05	-0.40
0.100	0.64	0.03	-0.56
0.125	0.64	0.02	-0.42
0.150	0.64	0.01	-0.34
0.175	0.64	5.11E-4	-0.41
0.200	0.64	-0.01	0.62
0.225	0.64	0.03	-0.30
0.250	0.64	-0.02	-2.13
0.275	0.64	-0.08	-0.19
0.300	0.64	-0.03	0.69
0.325	0.64	-0.04	-0.29
0.350	0.63	-0.05	-0.15
0.375	0.63	-0.05	0.01
0.400	0.63	-0.05	-0.14
0.425	0.63	-0.06	-0.14
0.450	0.63	-0.05	-0.07
0.475	0.63	-0.06	-0.08
0.500	0.63	-0.06	0.07
0.525	0.62	-0.06	0.07
0.550	0.62	-0.06	0.00
0.575	0.62	-0.06	0.07
0.600	0.62	-0.05	0.07
0.625	0.62	-0.05	0.05
0.650	0.62	-0.05	0.29
0.675	0.62	-0.04	0.16
0.700	0.62	-0.04	-0.15
0.725	0.61	-0.05	0.05
0.750	0.61	-0.04	0.28
0.775	0.61	-0.03	0.22
0.800	0.61	-0.03	0.07
0.825	0.61	-0.03	-4.44E-14
0.850	0.61	-0.03	0.00
0.875	0.61	-0.03	0.06
0.900	0.61	-0.02	0.21
0.925	0.61	-0.02	0.15
0.950	0.61	-0.02	0.00
0.975	0.61	-0.02	-0.06
1.000	0.61	-0.02	-0.14
1.025	0.61	-0.02	-0.07
1.050	0.61	-0.02	-0.07
1.075	0.61	-0.03	0.00
1.100	0.61	-0.02	0.09
1.125	0.60	-0.02	-0.19
1.150	0.60	-0.03	-0.43
1.175	0.60	-0.04	-0.22
1.200	0.60	-0.04	-0.01
1.225	0.60	-0.05	-1.02
1.250	0.60	-0.10	-0.26
1.275	0.60	-0.06	0.66
1.300	0.60	-0.06	-1.09
1.325	0.59	-0.11	-0.26
1.350	0.59	-0.08	0.61
1.375	0.59	-0.08	-0.28
1.400	0.59	-0.09	-0.20
1.425	0.58	-0.09	-0.27
1.450	0.58	-0.10	-0.36
1.475	0.58	-0.11	-0.14
1.500	0.58	-0.11	-0.06
1.525	0.57	-0.11	-0.20
1.550	0.57	-0.12	-0.28
1.575	0.57	-0.13	-0.22
1.600	0.56	-0.13	-0.07
1.625	0.56	-0.13	1.17E-14
1.650	0.56	-0.13	0.00
1.675	0.56	-0.13	0.00
1.700	0.55	-0.13	0.07
1.725	0.55	-0.13	0.07
1.750	0.55	-0.13	0.06
1.775	0.54	-0.12	0.21
1.800	0.54	-0.12	0.21
1.825	0.54	-0.11	0.20
1.850	0.53	-0.11	0.28
1.875	0.53	-0.10	0.27
1.900	0.53	-0.09	0.41
1.925	0.53	-0.08	0.49
1.950	0.52	-0.07	0.41
1.975	0.52	-0.06	0.48
2.000	0.52	-0.05	0.48
2.025	0.52	-0.04	0.55
2.050	0.52	-0.02	0.62
2.075	0.52	0.00	0.54
2.100	0.52	0.01	0.69
2.125	0.52	0.03	0.70
2.150	0.52	0.04	0.55
2.175	0.52	0.06	0.61
2.200	0.52	0.07	0.69
2.225	0.53	0.09	0.69
2.250	0.53	0.11	0.62
2.275	0.53	0.12	0.55
2.300	0.53	0.14	0.61
2.325	0.54	0.15	0.70
2.350	0.54	0.17	0.51
2.375	0.55	0.18	1.23
2.400	0.55	0.23	1.41
