Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0.000	0.72		
0.020	0.72	0.18	
0.040	0.73	0.14	-1.73
0.060	0.73	0.11	-1.61
0.080	0.73	0.08	-1.60
0.100	0.73	0.04	-1.71
0.120	0.73	0.01	-1.84
0.140	0.73	-0.03	-1.74
0.160	0.73	-0.06	-1.51
0.180	0.73	-0.09	-1.51
0.200	0.73	-0.12	-1.48
0.220	0.72	-0.15	-1.72
0.240	0.72	-0.19	-1.73
0.260	0.72	-0.22	-1.63
0.280	0.71	-0.26	-1.54
0.300	0.71	-0.28	-1.19
0.320	0.70	-0.30	-1.17
0.340	0.69	-0.33	-1.29
0.360	0.69	-0.35	-1.27
0.380	0.68	-0.38	-1.52
0.400	0.67	-0.42	-1.39
0.420	0.66	-0.44	-1.36
0.440	0.65	-0.47	-3.21
0.460	0.64	-0.56	-2.54
0.480	0.63	-0.57	0.72
0.500	0.62	-0.53	-0.08
0.520	0.61	-0.57	-1.80
0.540	0.60	-0.61	-0.83
0.560	0.59	-0.61	-1.29
0.580	0.57	-0.66	-1.47
0.600	0.56	-0.67	0.87
0.620	0.55	-0.62	0.84
0.640	0.54	-0.63	-0.32
0.660	0.52	-0.64	-0.32
0.680	0.51	-0.65	-0.45
0.700	0.50	-0.65	-0.23
0.720	0.48	-0.65	0.01
0.740	0.47	-0.65	-0.11
0.760	0.46	-0.66	-0.12
0.780	0.44	-0.66	0.09
0.800	0.43	-0.66	0.32
0.820	0.42	-0.65	0.44
0.840	0.41	-0.64	0.32
0.860	0.39	-0.63	0.32
0.880	0.38	-0.63	0.43
0.900	0.37	-0.62	0.43
0.920	0.36	-0.61	0.53
0.940	0.34	-0.60	0.75
0.960	0.33	-0.58	0.85
0.980	0.32	-0.56	1.07
1.000	0.31	-0.54	1.30
1.020	0.30	-0.51	1.08
1.040	0.29	-0.49	1.07
1.060	0.28	-0.47	1.30
1.080	0.27	-0.44	1.08
1.100	0.26	-0.42	0.96
1.120	0.25	-0.40	1.29
1.140	0.25	-0.37	1.51
1.160	0.24	-0.34	1.51
1.180	0.23	-0.31	1.51
1.200	0.23	-0.28	1.50
1.220	0.22	-0.25	1.72
1.240	0.22	-0.21	1.95
1.260	0.21	-0.17	1.62
1.280	0.21	-0.15	1.29
1.300	0.21	-0.12	1.39
1.320	0.20	-0.09	1.83
1.340	0.20	-0.05	1.95
1.360	0.20	-0.01	1.39
1.380	0.20	0.01	1.49
1.400	0.20	0.05	2.04
1.420	0.20	0.09	1.94
1.440	0.21	0.12	1.61
1.460	0.21	0.15	1.61
1.480	0.21	0.19	1.72
1.500	0.22	0.22	1.50
1.520	0.22	0.25	1.50
1.540	0.23	0.28	1.62
1.560	0.23	0.31	1.28
1.580	0.24	0.33	1.39
1.600	0.25	0.37	1.51
1.620	0.25	0.39	1.17
1.640	0.26	0.42	1.38
1.660	0.27	0.45	1.73
1.680	0.28	0.48	1.30
1.700	0.29	0.50	0.96
1.720	0.30	0.52	1.08
1.740	0.31	0.54	0.87
1.760	0.32	0.56	0.65
1.780	0.33	0.57	0.52
1.800	0.34	0.58	0.74
1.820	0.36	0.60	0.97
1.840	0.37	0.62	0.77
1.860	0.38	0.63	0.43
1.880	0.39	0.63	0.42
1.900	0.41	0.65	-1.26
1.920	0.42	0.58	-1.93
1.940	0.43	0.57	1.73
1.960	0.44	0.65	1.57
1.980	0.46	0.63	0.14
2.000	0.47	0.66	3.01
2.020	0.48	0.75	1.55
2.040	0.50	0.72	-2.51
2.060	0.51	0.65	-2.01
2.080	0.52	0.64	0.75
2.100	0.54	0.68	1.11
2.120	0.55	0.69	-3.94
2.140	0.56	0.53	-1.94
2.160	0.57	0.61	4.27
2.180	0.59	0.70	-0.77
2.200	0.60	0.58	-3.52
2.220	0.61	0.56	-1.07
2.240	0.62	0.53	0.23
2.260	0.63	0.56	0.33
2.280	0.64	0.55	-2.20
2.300	0.65	0.48	-2.84
2.320	0.66	0.43	-2.23
2.340	0.67	0.39	-1.34
2.360	0.68	0.38	-0.70
2.380	0.69	0.36	-1.28
2.400	0.69	0.33	-1.38
2.420	0.70	0.30	-1.50
2.440	0.71	0.27	-1.51
2.460	0.71	0.24	-1.38
2.480	0.72	0.21	-1.50
2.500	0.72	0.18	-1.51
2.520	0.72	0.15	-1.37
2.540	0.73	0.13	-1.57
2.560	0.73	0.09	-2.08
2.580	0.73	0.05	-1.74
2.600	0.73	0.02	-1.48
2.620	0.73	-0.01	-1.73
2.640	0.73	-0.05	-1.61
2.660	0.73	-0.08	-1.61
2.680	0.73	-0.11	-1.64
2.700	0.72	-0.14	-1.39
2.720	0.72	-0.17	-1.50
2.740	0.72	-0.20	-1.63
2.760	0.71	-0.23	-1.50
2.780	0.71	-0.26	-1.63
2.800	0.70	-0.30	-1.55
2.820	0.70	-0.33	-1.11
2.840	0.69	-0.34	-0.69
2.860	0.68	-0.35	-1.36
2.880	0.67	-0.40	-1.72
2.900	0.67	-0.42	-3.01
2.920	0.66	-0.52	-3.46
2.940	0.65	-0.56	0.40
2.960	0.64	-0.50	0.91
2.980	0.62	-0.52	-0.85
3.000	0.61	-0.54	-1.01
3.020	0.60	-0.56	-1.79
3.040	0.59	-0.61	-2.47
3.060	0.58	-0.66	-1.38
3.080	0.57	-0.66	1.09
3.100	0.55	-0.62	0.96
3.120	0.54	-0.62	-0.32
3.140	0.53	-0.63	-0.33
3.160	0.52	-0.64	-0.22
3.180	0.50	-0.64	-0.22
3.200	0.49	-0.65	-0.22
3.220	0.48	-0.65	-0.22
3.240	0.46	-0.65	-0.12
3.260	0.45	-0.66	0.10
3.280	0.44	-0.65	0.22
3.300	0.42	-0.65	0.10
3.320	0.41	-0.65	0.20
3.340	0.40	-0.64	0.53
3.360	0.39	-0.63	0.65
3.380	0.37	-0.61	0.55
3.400	0.36	-0.60	0.42
3.420	0.35	-0.60	0.64
3.440	0.34	-0.58	0.87
3.460	0.33	-0.56	0.76
3.480	0.32	-0.55	0.74
3.500	0.30	-0.53	1.18
3.520	0.29	-0.50	1.41
3.540	0.28	-0.47	1.30
3.560	0.27	-0.45	1.08
3.580	0.27	-0.43	1.17
3.600	0.26	-0.40	1.63
3.620	0.25	-0.37	1.30
3.640	0.24	-0.35	1.07
3.660	0.24	-0.32	1.39
3.680	0.23	-0.29	1.63
3.700	0.22	-0.26	1.29
3.720	0.22	-0.24	1.48
3.740	0.21	-0.20	2.50
3.760	0.21	-0.14	1.84
3.780	0.21	-0.13	1.49
3.800	0.21	-0.08	1.95
3.820	0.21	-0.05	1.40
3.840	0.20	-0.03	1.38
3.860	0.20	0.01	1.94
3.880	0.20	0.05	1.64
3.900	0.21	0.07	0.72
3.920	0.21	0.08	1.70
3.940	0.21	0.14	2.49
3.960	0.21	0.18	1.72
3.980	0.22	0.21	1.51
4.000	0.22	0.24	1.18
4.020	0.23	0.26	1.05
4.040	0.23	0.28	1.60
4.060	0.24	0.32	1.95
4.080	0.25	0.36	1.41
4.100	0.25	0.38	0.96
4.120	0.26	0.40	1.17
4.140	0.27	0.42	1.28
