Messreihe #1	Messreihe #1	Messreihe #1	Messreihe #1
Zeit (s)	Position (m)	Geschwindigkeit (m/s)	Beschleunigung (m/s²)
0.000	0.54		
0.020	0.54	-0.45	
0.040	0.53	-0.39	1.72
0.060	0.52	-0.38	0.32
0.080	0.51	-0.38	0.32
0.100	0.50	-0.37	0.33
0.120	0.50	-0.36	0.20
0.140	0.49	-0.36	0.42
0.160	0.48	-0.35	0.65
0.180	0.48	-0.33	0.65
0.200	0.47	-0.32	0.64
0.220	0.46	-0.31	0.74
0.240	0.46	-0.29	0.96
0.260	0.45	-0.27	1.08
0.280	0.45	-0.25	1.08
0.300	0.44	-0.22	0.98
0.320	0.44	-0.21	0.75
0.340	0.43	-0.19	0.74
0.360	0.43	-0.18	0.96
0.380	0.43	-0.16	1.07
0.400	0.42	-0.13	1.18
0.420	0.42	-0.11	1.18
0.440	0.42	-0.09	1.17
0.460	0.42	-0.06	1.40
0.480	0.42	-0.03	1.30
0.500	0.42	-0.01	1.18
0.520	0.42	0.02	1.20
0.540	0.42	0.04	0.97
0.560	0.42	0.05	0.96
0.580	0.42	0.08	1.07
0.600	0.42	0.10	1.07
0.620	0.42	0.12	1.07
0.640	0.43	0.14	1.07
0.660	0.43	0.16	1.18
0.680	0.43	0.19	1.19
0.700	0.44	0.21	0.97
0.720	0.44	0.23	0.97
0.740	0.45	0.25	0.87
0.760	0.45	0.26	0.64
0.780	0.46	0.27	0.65
0.800	0.46	0.29	0.54
0.820	0.47	0.30	0.52
0.840	0.47	0.31	0.76
0.860	0.48	0.33	0.65
0.880	0.49	0.33	0.53
0.900	0.49	0.35	0.67
0.920	0.50	0.36	0.33
0.940	0.51	0.36	0.21
0.960	0.51	0.37	0.15
0.980	0.52	0.37	1.07
1.000	0.53	0.41	1.25
1.020	0.54	0.42	-1.18
1.040	0.55	0.37	-1.26
1.060	0.55	0.37	-0.11
1.080	0.56	0.36	-0.13
1.100	0.57	0.36	0.22
1.120	0.57	0.37	0.17
1.140	0.58	0.37	-0.63
1.160	0.59	0.34	-0.87
1.180	0.60	0.33	-0.85
1.200	0.60	0.31	0.43
1.220	0.61	0.35	-0.76
1.240	0.62	0.28	-2.15
1.260	0.62	0.26	0.65
1.280	0.63	0.31	-0.55
1.300	0.63	0.24	-1.80
1.320	0.64	0.23	-0.69
1.340	0.64	0.21	-1.37
1.360	0.65	0.18	-1.88
1.380	0.65	0.14	0.09
1.400	0.65	0.18	-0.84
1.420	0.66	0.11	-2.60
1.440	0.66	0.08	0.41
1.460	0.66	0.12	-2.89
1.480	0.66	-0.04	-4.72
1.500	0.66	-0.07	-0.02
1.520	0.66	-0.04	1.52
1.540	0.66	-0.01	0.35
1.560	0.66	-0.02	-2.36
1.580	0.66	-0.10	-3.81
1.600	0.65	-0.18	-2.29
1.620	0.65	-0.19	0.57
1.640	0.65	-0.15	0.36
1.660	0.64	-0.18	-1.32
1.680	0.64	-0.21	-1.00
1.700	0.63	-0.22	-0.67
1.720	0.63	-0.23	-0.44
1.740	0.62	-0.24	-0.20
1.760	0.62	-0.24	-1.70
1.780	0.62	-0.30	-2.14
1.800	0.61	-0.33	0.30
1.820	0.60	-0.29	0.66
1.840	0.60	-0.30	-0.86
1.860	0.59	-0.33	-0.94
1.880	0.58	-0.34	0.07
1.900	0.58	-0.32	0.57
1.920	0.57	-0.31	0.24
1.940	0.56	-0.31	-0.01
1.960	0.56	-0.31	-1.30
1.980	0.55	-0.37	-1.38
2.000	0.54	-0.37	1.28
2.020	0.54	-0.31	1.50
2.040	0.53	-0.31	0.11
2.060	0.52	-0.31	0.10
2.080	0.52	-0.31	0.20
2.100	0.51	-0.30	0.42
2.120	0.51	-0.29	0.65
2.140	0.50	-0.28	0.64
2.160	0.50	-0.26	0.76
2.180	0.49	-0.25	0.65
2.200	0.49	-0.24	0.53
2.220	0.48	-0.22	0.65
2.240	0.48	-0.21	0.64
2.260	0.47	-0.20	0.75
2.280	0.47	-0.18	0.76
2.300	0.46	-0.17	0.63
2.320	0.46	-0.16	0.85
2.340	0.46	-0.13	1.08
2.360	0.46	-0.11	1.08
2.380	0.45	-0.09	1.08
2.400	0.45	-0.07	0.98
2.420	0.45	-0.05	0.87
2.440	0.45	-0.04	0.75
2.460	0.45	-0.02	0.74
2.480	0.45	-0.01	0.97
2.500	0.45	0.02	0.97
2.520	0.45	0.03	0.85
2.540	0.45	0.05	0.96
2.560	0.45	0.07	1.08
2.580	0.45	0.09	0.97
2.600	0.46	0.11	0.86
2.620	0.46	0.13	0.87
2.640	0.46	0.15	0.77
2.660	0.46	0.16	0.54
2.680	0.47	0.17	0.53
2.700	0.47	0.18	0.64
2.720	0.47	0.19	0.64
2.740	0.48	0.21	0.64
2.760	0.48	0.22	0.64
2.780	0.49	0.23	0.65
2.800	0.49	0.24	0.54
2.820	0.50	0.25	0.44
2.840	0.50	0.26	0.34
2.860	0.51	0.27	0.12
2.880	0.51	0.27	-0.02
2.900	0.52	0.27	0.21
2.920	0.52	0.27	0.35
2.940	0.53	0.28	-0.20
2.960	0.53	0.27	1.16
2.980	0.54	0.33	0.10
3.000	0.55	0.27	-1.49
3.020	0.55	0.27	1.40
3.040	0.56	0.33	0.01
3.060	0.56	0.27	-1.73
3.080	0.57	0.26	-0.06
3.100	0.57	0.26	-0.60
3.120	0.58	0.23	-1.28
3.140	0.58	0.21	0.00
3.160	0.59	0.23	0.07
3.180	0.59	0.22	-0.87
3.200	0.60	0.20	-0.77
3.220	0.60	0.19	-0.66
3.240	0.60	0.17	0.89
3.260	0.61	0.22	0.80
3.280	0.61	0.20	-2.47
3.300	0.62	0.12	-2.58
3.320	0.62	0.10	-1.18
3.340	0.62	0.08	-1.20
3.360	0.62	0.05	-0.98
3.380	0.62	0.04	-0.85
3.400	0.62	0.02	-0.97
3.420	0.62	0.00	-0.99
3.440	0.62	-0.02	-0.74
3.460	0.62	-0.03	-0.84
3.480	0.62	-0.05	-1.08
3.500	0.62	-0.08	-1.09
3.520	0.62	-0.10	-0.86
3.540	0.62	-0.11	-2.15
3.560	0.61	-0.18	-2.40
3.580	0.61	-0.21	0.63
3.600	0.61	-0.16	0.98
3.620	0.60	-0.17	-0.44
3.640	0.60	-0.18	-0.31
3.660	0.59	-0.18	-0.41
3.680	0.59	-0.19	-0.64
3.700	0.59	-0.21	-0.74
3.720	0.58	-0.22	-1.02
3.740	0.58	-0.25	-0.39
3.760	0.57	-0.24	0.50
3.780	0.57	-0.23	-0.41
3.800	0.56	-0.25	-0.73
3.820	0.56	-0.26	0.54
3.840	0.55	-0.23	-1.04
3.860	0.55	-0.30	-0.10
3.880	0.54	-0.24	1.40
3.900	0.54	-0.24	-1.66
3.920	0.53	-0.30	0.35
3.940	0.53	-0.23	1.53
3.960	0.52	-0.24	-0.39
3.980	0.52	-0.24	0.54
4.000	0.51	-0.22	0.56
4.020	0.51	-0.22	0.18
4.040	0.50	-0.21	0.65
4.060	0.50	-0.19	0.66
4.080	0.50	-0.19	0.42
4.100	0.49	-0.18	0.53
4.120	0.49	-0.16	0.65
4.140	0.49	-0.15	0.53
4.160	0.48	-0.14	0.64
4.180	0.48	-0.13	0.77
4.200	0.48	-0.11	0.52
4.220	0.48	-0.10	0.74
4.240	0.47	-0.08	0.98
4.260	0.47	-0.07	0.75
4.280	0.47	-0.05	0.85
4.300	0.47	-0.03	0.99
4.320	0.47	-0.01	0.65
4.340	0.47	-0.01	0.63
4.360	0.47	0.01	0.87
4.380	0.47	0.03	0.64
4.400	0.47	0.04	0.74
4.420	0.47	0.06	0.98
4.440	0.47	0.08	0.74
4.460	0.48	0.09	0.86
4.480	0.48	0.11	0.87
4.500	0.48	0.12	0.64
4.520	0.48	0.14	0.65
4.540	0.49	0.15	0.54
4.560	0.49	0.16	0.53
4.580	0.49	0.17	0.65
4.600	0.50	0.18	0.54
4.620	0.50	0.19	0.43
4.640	0.50	0.20	0.41
4.660	0.51	0.21	0.64
4.680	0.51	0.23	0.80
4.700	0.52	0.24	0.12
4.720	0.52	0.23	-0.15
4.740	0.53	0.24	0.44
4.760	0.53	0.25	0.36
4.780	0.54	0.25	-0.22
4.800	0.54	0.24	-0.24
4.820	0.55	0.24	1.63
4.840	0.55	0.31	0.12
4.860	0.56	0.25	-1.73
4.880	0.56	0.24	1.38
4.900	0.57	0.30	0.32
4.920	0.57	0.25	-1.13
4.940	0.58	0.25	-0.24
4.960	0.58	0.24	-1.33
4.980	0.59	0.20	-0.83
5.000	0.59	0.21	0.26
5.020	0.59	0.21	-0.27
5.040	0.60	0.20	-0.98
5.060	0.60	0.17	-0.90
5.080	0.61	0.16	-0.45
5.100	0.61	0.16	-0.30
5.120	0.61	0.15	0.78
5.140	0.61	0.19	0.66
5.160	0.62	0.17	-2.14
